sentence,labels,topic
đáp ứng đề cương môn học đề .,0,1
thầy hướng dẫn thực hành hơn .,0,0
"giảng viên thân thiện , quan tâm tới sinh viên .",2,0
"môn lập trình hướng đối tượng cập nhật thêm nội dung mới , dễ hiểu giảng giải cụ thể hơn .",0,1
"giáo viên nhiệt tình , tâm huyết , khả năng truyền đạt tốt .",2,0
thầy dạy tốt nhiệt tình .,2,0
"cô nói hơi nhỏ , lớp ồn khó nghe .",0,0
"bài tập cô đưa , khó tìm hiểu , kiến thức hiện sinh viên khó thể tìm hiểu làm tốt bài tập cô .",0,0
bài tập hoạt động nhóm còn ít .,0,1
"giảng viên nhiệt tình , phương pháp giảng dạy hay , sinh viên nắm bắt kiến thức lớp .",2,0
cô hướng dẫn thực hành khá đầy đủ .,2,0
học kinh nghiệm thầy wzjwz163 .,2,0
"kiến thức thầy tốt , bảo đảm giờ lớp .",2,0
hiện em chưa thấy tác dụng học môn này .,0,1
cải thiện cơ sở vật chất máy chiếu phòng học .,0,2
dạy phù hợp cách học em .,0,0
giải thích nội dung mới rõ ràng .,2,0
lớp học quá đông !,0,1
"môn căn bản thầy dạy cho sinh viên kỹ , gây hiểu , mất căn bản .",0,1
"giảng viên chưa cho bài tập về nhà sinh viên làm cho năm bài chương , chữa đáp án .",0,0
"hiện trường ta chưa , thiệt thòi lớn đối tụi em .",0,1
tôi cảm thấy giảng viên dạy tốt .,2,0
"biết thầy nào dạy chính thức , học thường nghỉ thông báo sinh viên đứng chờ sắp hết tiết tự về lần .",0,0
tương tác giữa giảng viên sinh viên hơn .,0,3
giảng viên thân thiện nhiệt tình cởi mở .,2,0
"giáo viên mời công ty về trình bày , giúp sinh viên cập nhật kiến thức thực tiễn .",2,0
coi thái độ giảng viên thực hành .,0,0
"giảng viên nhiệt tình , giải bài tập .",2,0
bài giảng thầy nhiệt tình .,2,0
"môn học chưa thực tiễn , chưa thu hút sinh viên .",0,1
dạy hơi nhanh !,0,0
ít làm bài tập .,0,1
"giảng bài kém thu hút , vị trí đứng giảng hợp lý , ôn tập cuối kỳ còn chưa tập trung vấn đề .",0,0
"giảng viên nhiệt tình , bài giảng thu hút .",2,0
"nhờ thầy giảng viên lý thuyết , em hiểu rõ về môn này !",2,0
môn này khá trừu tượng mong thầy liên tưởng tới thực tiễn hơn chúng em thể hiểu .,0,1
thêm tài liệu cho sinh viên .,0,1
bài tập lớp .,1,1
tăng số tiết dạy sinh viên cơ hội hỏi đáp thắc mắc về môn học .,0,1
thầy nhiệt tình dễ hiểu .,2,0
thực hành lý thuyết dạy song song .,0,1
giảng viên dạy nhanh .,0,0
bài tập lớp giới thiệu đầu tiết học học sinh tốn thời gian đọc đề cũng thể suy nghĩ cách giải nghe giảng .,0,1
giảng viên cho bài tập hay .,2,0
cập nhật bài tập mới .,0,1
"lớp ai làm người ấy , thầy giảng thêm .",0,0
"tận tâm , nhiệt tình , quan tâm đến sinh viên .",2,0
phản hồi giải đáp thắc mắc cho sinh viên .,2,0
dạy quá nhanh .,0,0
mong ban thiết sớm khắc phục ạ !,0,2
môn này làm đề tài áp dụng lý thuyết thực tiễn lớp học một đống lý thuyết hiếm ai nhớ đa số khá buồn ngủ lớp .,0,1
"giảng viên đổi mới phương pháp giảng dạy , tránh thô cứng , hấp dẫn sinh viên .",0,0
"nhiệt tình , tạo cách chủ động cho học sinh tiếp cận môn học tham gia chương trình phong trào liên quan nâng cao kỹ năng .",2,0
"cô dạy tận tình , dễ hiểu .",2,0
đáp ứng cầu sinh viên .,0,1
thầy nhiệt tình chúng em này làm em hài lòng .,2,0
cách giảng dạy thầy hay phần dễ hiễu .,2,0
"nhiệt tình , dễ thương .",2,0
hướng dẫn đồ án .,0,0
em xin đề nghị nhà trường bổ sung tài liệu về môn học cập nhật nội dung .,0,1
"chép bài , lãng phí thời gian nghe giảng .",0,0
"em học thầy wzjwz178 kỳ này , giáo viên thực hành hai người lẽ daa nhầm .",0,0
đề thi môn dài sinh viên làm đủ thời gian .,0,3
cho làm bài test .,0,0
em thi phòng máy nào visual 2013 trở .,0,2
thêm tài liệu cho môn học .,0,1
thầy giảng dạy tốt .,2,0
mong thầy thể hướng dẫn cách cụ thể nhất cho bài khó .,0,0
thầy cho bài tập hướng dẫn hơn .,0,0
"giáo viên lớp đúng giờ , giảng bài sôi động .",2,0
em thấy thầy giảng cho .,0,0
xác định rõ mục đích môn học cho sinh viên đề cương chi tiết môn học bắt đầu .,0,1
"thầy nói sinh viên tự nhiên , chia sẻ kinh nghiệm thực tế .",2,0
dạy sát chương trình .,2,0
cung cấp thêm trang thiết phục vụ cầu môn học .,0,2
đề nghị nâng cấp phòng lab khoa mạng .,0,2
"thầy giảng hay tâm huyết , bài giảng tính thực tiễn cao .",2,0
đi dạy đúng giờ .,2,0
"thầy cung cấp kiến thức mới , thầy dạy tận tâm nhiệt tình !",2,0
tăng thêm ví dụ minh họa cho lý thuyết phần lý thuyết trừu tượng .,2,0
yêu cầu về đồ án môn học đưa chính xác sinh viên bắt đầu thực hiện chia nhóm làm đồ án .,0,1
"dạy dễ hiểu dễ tiếp thu , tập trung vài kiến thức trọng tâm .",2,0
"dạy chưa kỹ lắm , điểm thoáng hơn .",0,0
chưa chuẩn kỹ bài giảng thể trả lời thắc mắc sinh viên lớp .,0,0
cô khá tận tâm cho học sinh .,2,0
"cải cách nội dung bài thực hành , một số kiến nội dung bài thực hành trở lỗi thời .",0,1
giảng viên khả năng truyền đạt kiến thức tốt .,2,0
cho làm bài tập .,0,0
nghiên cứu khoa học .,1,3
"giáo viên dạy tận tâm , nhiệt tình .",2,0
thầy cô hướng dẫn đồ án hệ thống thông tin thêm một vài buổi gặp mặt sinh viên đưa lịch cố định trường sinh viên thắc mắc thể hỏi trực tiếp !,0,0
thông báo lớp khó tránh sai sót .,0,3
cô viết ở góc bảng gần chỗ bục giảng khiến khó quan sát ạ .,0,0
đề nghị lắp thêm quạt .,0,2
dạy kỹ .,2,0
bài tập đa dạng hơn .,0,1
nói nhỏ .,0,0
làm bài sai giáo viên nói làm hơi tự ái .,0,0
sửa bài tập thực hành .,0,0
em chưa hiểu rõ cách thức chấm điểm bài kiểm tra thực hành .,0,1
làm bài tập mặc dù hiểu lắm .,0,1
thi thoảng nghỉ học thông báo daa .,0,0
"thầy dạy dễ hiểu , tiết học dễ hiểu , sôi nổi .",2,0
"thầy giảng dạy nhiệt tình , truyền cảm .",2,0
"giảng dạy chi tiết , dễ hiểu dễ tiếp thu .",2,0
truyền đạt kiến thức tốt .,2,0
cô vui tính .,2,0
hướng dẫn bằng lý thuyết làm bài tập mẫu cho sinh viên .,0,0
cô chưa kênh bài tập cho sinh viên .,0,0
bạn nào khá thể áp dụng công thức bài tập lớp chưa đến ba mươi phần trăm còn thực hiểu môn học ít người hiểu .,0,3
thầy dạy hơi nhanh .,0,0
ít hướng dẫn sinh viên giờ thực hành .,0,0
thực hành buổi nào .,0,3
"thầy dạy phần lý thuyết hay , nắm bắt khả năng sinh viên .",2,0
"ví dụ đề tài em doubledot nguyên lý cơ bản , bao gồm bảy nguyên tắc bohm ( 1983 ) .",1,3
"giáo viên nhiệt tình , dạy dễ hiểu , tận tình sinh viên .",2,0
"tận tâm , nhiệt tình lớp lẫn bên ngoài .",2,0
thầy giảng dạy tận tâm nhiệt tình .,2,0
"thầy vui tính , giảng bài dễ hiểu , nhiệt tình .",2,0
thầy giáo dạy nhiệt tình .,2,0
"dạy dễ hiểu , gần gũi sinh viên .",2,0
"cô dạy nhiệt tình tài liệu cô cụ thể dễ hiểu , cô hướng dẫn tận tình .",2,0
mong thầy cố gắng học kỳ .,0,0
đưa ví dụ minh họa hơn .,0,1
"giảng viên hoà đồng , vui vẻ , giảng tận tình sinh viên ham học hỏi .",2,0
giảng viên dạy một tiết thực hành nào .,0,0
!,1,3
thống nhất giữa giảng viên bộ môn đề cương giảng dạy .,0,0
"phần kiến thức một nửa lớp học giảng viên nghĩ lớp học overview , sinh viên còn khó nắm .",0,0
máy tính cập nhật nhanh hơn .,0,2
"vui , hòa đồng , nhiệt tình .",2,0
giúp đỡ sinh viên học tập nghiên cứu .,2,0
"giảng viên tận tâm , nhiệt tình , ham học hỏi .",2,0
"tuy nhiên cô cân nhắc về số lượng yêu cầu đối sinh viên sinh viên khớp quá dẫn đến làm loa cho , kết quả tốt .",0,0
"cô tận tâm , ok , em thích cách dạy học cô ( mặc dù hơi nhanh tí ) .",2,0
mong thầy nhà trường xem xét em nói .,0,0
"thầy tận tâm , nhiệt tình , tạo động lực cho sinh viên .",2,0
"thầy giáo tận tình , dạy kỹ , thường đưa câu hỏi xem xét mức độ hiểu biết sinh viên .",2,0
tăng cường trao đổi giữa sinh viên giáo viên .,0,1
nói chung nghe bao giờ nghe rõ .,0,3
cách truyền đạt giáo viên chưa sức hút đối sinh viên cho lắm .,0,0
"cô giáo thân thiện dễ gần , thực hành .",2,0
chưa tiếp thu trọn vẹn .,0,0
cải tiến trang thiết thực hành .,0,2
giảng kỹ hơn .,0,0
còn hơi kéo thời gian .,0,0
bài tập về nhà cơ bản lẫn nâng cao giảng viên sửa bài đủ .,2,0
thầy hiền kiên trì giảng dạy cho lớp mặc dù môn học này đối em hứng thú lắm .,0,0
đôi giảng bài hơi nhanh .,0,0
một số buổi đi dạy .,0,0
thầy nhiệt tình dạy dễ hiểu .,2,0
"kiến thức nền tảng này , sinh viên thể học thêm bất kỳ công nghệ cụ thể nào dễ dàng , cũng tiếp thu thay đổi công nghệ mới nhanh chóng .",2,3
"cấu trúc đề cương thầy chưa rõ ràng , lý thuyết chưa trình bày rõ buổi học .",0,1
tài liệu hỗ trợ toàn tiếng anh khó học .,0,1
chưa nhận môn học này .,0,3
"giảng viên hề giảng dạy , đưa đề cương thôi .",0,0
bài tập tuần đều đầy đủ .,2,1
em xin cảm ơn .,2,3
thầy cho sinh viên biết học môn này tác dụng làm học xong .,0,0
đề nghị tăng thời gian thực hành .,0,1
làm riêng dạy thực hành .,0,0
hỗ trợ thêm giáo trình slide cho sinh viên .,0,2
cô wzjwz259 vui nhiệt tình .,2,0
"giáo viện nhiệt tình , tận tâm .",2,0
"kiến thức giảng viên trình bày rõ ràng , dễ hiểu cho sinh viên .",2,1
thêm kit thực hành .,0,2
dạy khó hiểu quá nhanh .,0,0
"luôn gần gũi , tham khảo ý kiến sinh viên thống nhất sinh viên .",2,0
sắp xếp lịch học bù chưa hợp lý .,0,1
"nhà trường đưa môn học này thời khóa biểu bắt buộc ở học kỳ một sinh viên năm nhất nhằm giúp em nắm biết mình học , mình chuyển đổi ngành hay .",0,1
thời gian thực hành hơn .,0,1
giảng viên nhiệt tình giảng dạy .,2,0
slide chuẩn chưa tốt .,0,1
thầy hay đòi hỏi sinh viên hơi quá cao .,0,0
cô giảng hướng dẫn nhiệt tình .,2,0
"chúng em gặp khó khăn khổ giấy nhỏ , mô hình lớn phức tạp .",0,3
giảng quá đánh trọng tâm .,0,0
"em muốn nói mong thầy xem cách đánh giá sinh viên công bằng hơn , sinh viên biết ở cúp tiết còn ở cách giảng dạy , truyền đạt ở giảng viên , ví dụ cô wzjwz324 , dễ hiểu , tận tâm .",0,0
cô hình thức giảng dạy hay .,2,0
hơi khó .,0,0
thầy đi trễ .,0,0
giảng tốt .,2,0
nói mở rộng vấn đề về môn học .,2,0
tăng cường nội dung nghe nói sinh viên giao tiếp tốt hơn bằng tiếng anh .,0,1
giảng viên tạo kiện làm bài tập .,0,0
hỗ trợ thêm về thiết dạy học .,0,2
ít giải bài tập lớp .,0,0
chia sẻ .,1,1
bám sát nội dung chính .,2,1
thêm đoạn code cho giải thuật bổ sung phương pháp giải quyết bài toán liệt kê .,0,1
thông tin đầy đủ về bài tập nguồn tham khảo .,2,1
"cô tận tâm , nhiệt tình , phương pháp dạy dễ hiểu .",2,0
"thầy giảng dễ hiểu thú vị , thu hút .",2,0
hướng dẫn chi tiết về cách thực hành .,2,0
"giảng viên cho đồ án giải đáp yêu cầu đồ án , cung cấp tài liệu hay hướng dẫn cơ bản , sinh viên tự tìm hiểu lý dở hệ tài năng tự xoay sở .",0,0
"môn học toàn kiến thức mới mẻ , giảng viên giảng chi tiết hơn .",0,0
"đến cuối kỳ , sinh viên mắc một sai sót nhỏ rớt môn .",0,1
"thay đổi cách dạy nội dung học phần thực hành , bài thực hành hiện môn mạng máy tính chưa đảm bảo hiệu quả .",0,1
"thầy dạy hay , tận tình góp ý bài .",2,0
"cơ sở vật chất , phòng máy đủ phích cắm cho dụng cụ thực hành số lượng sinh viên , máy còn tiềm ẩn virus .",0,2
"lớp lý thuyết giảng viên yêu cầu sinh viên thực hiện đồ án mình hướng dẫn , nhóm sinh viên bổ sung thêm liên hệ thực tiễn đều cho sai , phù hợp đồ án .",0,1
thầy giảng bài hay hiệu quả !,2,0
giảng viên nhiệt tình vui vẻ .,2,0
phòng học rèm che sáng chiếu slide nhìn rõ hơn .,0,2
"chương trình dạy lý thuyết thực hành khớp nhau hơn , tránh tình trạng thực hành học lý thuyết .",0,0
"thầy giảng dạy nhiệt tình , dễ hiểu .",2,0
mong giảng viên ngày chấn chỉnh dạy học khoá hiểu tốt hơn .,0,0
"thầy dạy tâm , giảng cho sinh viên thứ !",2,0
"nội dung khảo sát quá dài , mục lặp đi lặp , bạn khảo sát đọc , toàn tích chàn .",0,1
dạy tốt nhiệt tình dạy học sinh .,2,0
"nhiệt tình , tận tâm .",2,0
"học mới thấý kiến thức thầy dạy hay , bám sát thực tế , thầy dạy nhiệt tình , vui vẻ , khác mọi người nói .",2,0
bài tập hay .,2,1
thầy cô cho dạng bài tập sát đề thi hơn .,0,0
"thầy giảng hay tự tin hơn , nói to hơn học sinh hiểu bài một cách rõ ràng hơn .",2,0
"mong thầy vui tính , gần gũi sinh viên hơn .",2,0
"giáo viên vui tính , hòa đồng , nhiệt tình .",2,0
cung cấp kiến thức trọng tâm .,2,1
cố gắng truyền đạt một cách tốt nhất sinh viên hiểu .,2,0
giọng giảng viên nhỏ dù sử dụng micro .,0,0
"dù phương pháp học tập này khá hiệu quả chút nào nghi ngờ phần thuyết trình bạn , liệu kiến thức chuẩn xác cập nhật chưa .",1,1
giáo viên phong cách giảng dạy nghiêm túc .,2,0
"cô vui tính nè , khí lớp nào cũng vui hết , cô dạy hay , dễ hiểu !",2,0
"giảng viên giảng dạy tốt , thường xuyên cung cấp thêm kiến thức .",2,0
"thầy luôn nhiệt tình , chia sẻ gần gũi sinh viên .",2,0
khả năng truyền đạt tốt .,2,0
thậm chí còn bài nào khó bằng bài nội dung lớp chuyên tin ở trường cấp ba .,0,1
thầy dạy tận tụy tâm huyết .,2,0
thầy cách dạy mới cho môn học này kết quả tốt cho tất mọi người thay rớt người !,0,0
lịch thi thực hành thông báo sớm tới sinh viên phù hợp thời gian môn học .,0,1
cô giảng kỹ chi tiết bài bài đa số bạn chưa hiểu cô giảng nhanh chuyển bài khác .,0,0
dạy tốt đúng trọng tâm biết .,2,0
"nhiệt tình , lớp đúng giờ , dạy dễ hiểu .",2,0
"em buồn ngủ , dù lớp em ngủ , ngủ ở lớp đau lưng tê chân lắm .",0,3
cơ em học môn này em hiểu colonlove .,2,3
thiếu kinh nghiệm truyền đạt .,0,2
bài giảng thú vị .,2,1
em nghĩ nội dung thực hành gần đồ án hơn .,0,1
thầy nhiệt huyết giảng bao quát đề cập đến khía cạnh bài học vấn đề .,2,0
giảng viên giảng bài kỹ .,2,0
"hệ thống đồ án chấm điểm mức độ hoàn thành sinh viên , tạo ganh đua hề nhẹ nhóm làm chung đồ án , kích thích sáng tạo ngừng tìm hiểu xây dựng thêm chức năng mới cho đồ án muốn điểm cao .",2,1
"nhiệt tình , tâm huyết .",2,0
ít chú trọng phần ngữ pháp .,0,1
"giảng viên còn chưa tận tâm , phong cách giảng dạy chưa thu hút sinh viên .",0,0
"giảng dễ hiểu , hướng dẫn làm thực hành tốt .",2,0
"thầy dạy nhiệt tình , dạy thầy luôn đi tới sinh viên hướng dẫn .",2,0
giảng viên nhiệt tình giảng dạy chấm điểm .,2,0
"cách truyền đạt kiến thức đối em hiệu quả , trao đổi bài sinh viên , cô nhiệt tình !",2,0
"giảng dạy hay , dễ hiểu , tận tình .",2,0
"kiến thức rộng , kinh nghiệm thực tế , truyền cảm hứng cho sinh viên .",2,0
cách dạy sáng tạo .,2,0
giảng bài dễ tiếp thu .,2,0
em hài lòng cô .,2,0
"thầy dạy dễ hiểu , sinh động .",2,0
cô chưa nắm bắt thực trạng học sinh viên .,0,0
ảnh hưởng đến tiến độ học tập quỹ thời gian sinh viên ( dở học bù ) .,0,0
cô giảng bài dễ hiểu .,2,0
em hài lòng nhất thầy đi đúng giờ dạy quá nhanh .,2,0
giáo trình thống nhất cho tất lớp học kỳ học .,0,1
em nghĩ bài tập lớn nâng cao khả năng lập trình sinh viên .,0,1
nhiệt tình sinh viên .,2,0
"giảng viên phương pháp giảng dạy hay , cập nhật , phù hợp sinh viên .",2,0
giảng dạy tốt tâm .,2,0
dạy lý thuyết hơi .,0,0
giảng viên chấm bài quy chụp kết quả .,1,0
"thời lượng môn học quá dài , sinh viên cảm thấy mệt mỏi .",0,1
giảng viên vui tính dễ tương tác sinh viên .,2,0
"nhiệt tình hay giúp đỡ sinh viên biết , cho bài tập .",2,0
"thầy cho điểm phần nào còn cảm tính , chưa công bằng .",0,0
thầy giảng dạy nhiệt tình .,2,0
"thầy nhiệt tình , bài giảng phong phú đa dạng .",2,0
đặc biệt .,1,3
"tháng gặp giảng viên một lần khó cho học hỏi , hướng dẫn giáo viên .",0,0
"thầy chuẩn riêng một slide cho mình giảng dạy , lấy slide người khác đến sơ sót , thầy lấy lý dở "" slide tôi "" , "" này tôi cũng rõ "" .",0,0
thầy cho làm bài tập lớp sinh viên chưa biết về vấn đề .,0,0
đôi đi quá sâu một vấn đề bên lề .,0,0
"giảng viên dạy tận tâm , nhiệt tình , dễ hiểu .",2,0
cô thật nhiệt tình .,2,1
phòng thực hành tốt .,2,2
"nói lan man , liên quan đến môn học quá .",0,3
giảng viên tận tâm .,2,0
phân bổ hợp lý thời gian học cho xem video hơn nghe .,0,1
"thầy bận cũng nghỉ , hi vọng thầy thể sắp xếp thời gian .",0,0
giáo viên sử dụng giờ lớp hiệu quả .,2,0
"giáo viên tận tình , dạy truyền đạt tốt .",2,0
"giảng viên dạy tốt , nhiệt tình .",2,0
giảng viên tạo cảm hứng cho sinh viên học tập .,2,0
chán .,0,0
"thầy nhiệt tình , tận tâm giúp đỡ sinh viên .",2,0
"dạy quá chậm , quá cặn kẽ .",0,0
thầy wzjwz174 ít cho bài tập về nhà .,0,0
thầy đôi nói hơi khó hiểu .,0,0
"giảng viên tận tâm , nhiệt tình , hỗ trợ giải đáp thắc mắc môn học cho sinh viên .",2,0
"đi sâu vấn đề , giúp sinh viên hiểu tốt môn học , ứng dụng cụ thể môn học đem .",0,1
làm bài tập .,1,3
ngỡ mười điểm chắc chắn .,0,1
thầy yêu cầu quá cao đối một sinh viên thể tiếp thu mọi kỹ năng truyền đạt một đồ án .,0,0
thêm phòng thiết thực hành .,0,2
dễ hiểu đầy đủ .,2,0
điểm .,1,3
"giáo viên tốt bụng , vui tính .",2,0
"slide quá khó hiểu , chỗ giải thích rõ ràng , đặc biệt bài hướng dẫn thực hành .",0,1
"nói rõ mục tiêu cũng bước làm lab , khối lượng bài tập .",2,0
giải đáp kịp thời thắc mắc cho sinh viên .,2,0
"giảng viên nhiệt tình , phương pháp dạy dễ tiếp cận , dễ hiểu .",2,0
"phòng học lắp thêm quạt ổ cắm sinh viên sử dụng laptop làm bài tập , thêm màn che cửa sổ thể dõi bài giảng slide tốt hơn .",0,2
bài tập cho ví dụ về nhà xem .,0,1
giảng viên thiếu hoạt động học bớt nhàm chán quá bám sát bài học .,0,0
"thầy dạy dễ hiểu , hài lòng .",2,0
"micro thiết âm thanh , máy chiếu nâng cấp .",0,2
"cách giảng bài dễ hiểu , hay .",2,0
đầy đủ kiến thức .,2,1
chất lượng phòng máy tệ .,0,2
"thầy giảng ngắn gọn , đầy đủ .",2,0
tốt giỏi chu đáo .,2,0
"tuy phần chém gió kinh điển kiến thức , hiểu biết rộng , đặc biệt về công nghệ .",2,0
"chờ học sinh gửi email mới show slide to , giảng cho loa hỏi học sinh hiểu hay ?",0,0
tạo niềm vui cho bọn em tuy lý thuyết bọn em đuối sức .,2,0
"nhiệt tình , truyền cảm hứng .",2,0
"thầy hài hước , giọng truyền cảm .",2,0
"thầy dạy nhiệt tình , tâm huyết , dễ hiểu .",2,0
hiểu cách chấm bài thi thầy .,0,0
tiết học chưa thu hút .,0,1
giảng viên thay đổi phương pháp giảng dạy tương tác hơn sinh viên .,0,0
thẳng nội dung .,0,1
"thầy đẹp trai , dạy dễ hiểu , hay trò thực tiễn học sinh .",2,0
cô dạy lớp thực hành tận tâm .,2,0
em hài lòng về thầy .,2,0
"thầy quá bảo thủ , thầy luôn cho ý kiến thầy đúng nhất , ngoài mọi ý kiến khác đều sai .",0,0
"thầy wzjwz252 giảng bài thu hút , kiến thức thầy rộng , luôn giải đáp thắc mắc cho sinh viên .",2,0
"giảng viên hòa đồng vui vẻ , nhiệt tình giảng dạy .",2,0
"giảng viên tận tâm , tạo kiện cho học sinh làm bài tập .",2,0
giải bài tập hơn .,0,1
"kiến thức thực tiễn thầy rộng , giảng dạy vui vẻ .",2,0
cô cũng cung cấp hay giải thích đáp án bài thi .,0,0
"thầy nhiệt tình , nói đến khản giọng sức truyền tải bằng thầy wzjwz159 .",2,0
kiến thức giảng dạy môn tiếng anh hầu giúp ích cho sinh viên tìm hiểu tài liệu chuyên ngành .,0,1
"thấy hiền , chi hơi trẻ con .",2,0
"giảng dạy hay , dễ hiểu , cuốn hút sinh viên .",2,0
"cách tìm kiếm chúng ở đâu , khai thác chúng ở đâu chứ nhớ mấy phương thức hay hàm viết giấy đề thi cuối kỳ .",0,1
"giảng hơi nhanh , chưa kỹ lắm .",0,0
"phần trọng tâm bài tập cũng nói "" phần quan trọng đề thi em chú ý "" .",0,1
"nghe , nói luyện tập cao .",2,1
giáo viên giảng hay dễ hiểu .,2,0
sử dụng phần mềm crack .,0,1
dạy quá thời gian .,0,0
